TERR,LIB_TERR,periode,periode_milieu,periode_nb_annees,POPULATION_debut,POPULATION_fin,DECES,NAISSANCES,EVOL_DEMO_TOT,EVOL_DEMO_SN,EVOL_DEMO_SMA,TX_EVOL_DEMO_AN_TOT,TX_EVOL_DEMO_AN_SN,TX_EVOL_DEMO_AN_SMA,NIV_TERR
200011781,CC Portes du Berry entre Loire et Val d'Aubois,2010_2015,2012.5,5,10092,9915,591,486,-177,-105,-72,-0.00353259939837203,-0.00209560981259358,-0.00143698958577845,EPCI
200011781,CC Portes du Berry entre Loire et Val d'Aubois,1968_1975,1971.5,7,10717,10339,1174,923,-378,-251,-127,-0.00511659584796831,-0.00339752793079377,-0.00171906791717454,EPCI
200011781,CC Portes du Berry entre Loire et Val d'Aubois,1975_1982,1978.5,7,10339,9950,1120,735,-389,-385,-4,-0.0054636768746672,-0.00540749510731844,-5.61817673487633e-05,EPCI
200011781,CC Portes du Berry entre Loire et Val d'Aubois,1982_1990,1986,8,9950,9828,1143,752,-122,-391,269,-0.00154094858159681,-0.004938613896757,0.00339766531516019,EPCI
200011781,CC Portes du Berry entre Loire et Val d'Aubois,1990_1999,1994.5,9,9828,9862,1168,807,34,-361,395,0.000383799536980867,-0.00407504802500273,0.0044588475619836,EPCI
200011781,CC Portes du Berry entre Loire et Val d'Aubois,1999_2010,2004.5,11,9862,10092,1348,1225,230,-123,353,0.00209801985903124,-0.00112198453330801,0.00322000439233925,EPCI
200012060,CC Petite Montagne,2010_2015,2012.5,5,6706,6688,436,322,-18,-114,96,-0.000537409995818194,-0.0034035966401819,0.0028661866443637,EPCI
200012060,CC Petite Montagne,1968_1975,1971.5,7,5864,5348,677,431,-516,-246,-270,-0.0130722779724874,-0.00623213252176727,-0.00684014545072018,EPCI
200012060,CC Petite Montagne,1975_1982,1978.5,7,5348,5204,606,358,-144,-248,104,-0.00389170740058287,-0.00670238496767049,0.00281067756708763,EPCI
200012060,CC Petite Montagne,1982_1990,1986,8,5204,5531,667,473,327,-194,521,0.00764672178123571,-0.00453658723412761,0.0121833090153633,EPCI
200012060,CC Petite Montagne,1990_1999,1994.5,9,5531,6106,674,627,575,-47,622,0.0110498550944966,-0.000903205546854507,0.0119530606413511,EPCI
200012060,CC Petite Montagne,1999_2010,2004.5,11,6106,6706,822,838,600,16,584,0.00855738447555976,0.00022819691934826,0.0083291875562115,EPCI
200013050,CC Sauer-Pechelbronn,2010_2015,2012.5,5,17589,17389,759,904,-200,145,-345,-0.00228456325404458,0.00165630835918232,-0.0039408716132269,EPCI
200013050,CC Sauer-Pechelbronn,1968_1975,1971.5,7,14941,15300,1275,1679,359,404,-45,0.0033977187086669,0.00382361659693991,-0.00042589788827301,EPCI
