TERR,LIB_TERR,AGEREVS,type_indice,valeur,NIV_TERR
200041630,CA Ardenne Métropole,GLOBAL,IRI,0.0827218889897418,EPCI
200041689,CC Vals de Saintonge,GLOBAL,IRI,0.0774871849972683,EPCI
200041721,CC de la Haute Comté,GLOBAL,IRI,0.109938032424318,EPCI
200041762,CA Rochefort Océan,GLOBAL,IRI,0.052605201477832,EPCI
200041788,CA du Pays Nord Martinique,GLOBAL,IRI,0.0576232879890062,EPCI
200041853,CC du Pays de Montbozon et du Chanois,GLOBAL,IRI,0.0770558286639895,EPCI
200041861,CC du Triangle Vert,GLOBAL,IRI,0.0746792664384912,EPCI
200041879,CC Terres de Saône,GLOBAL,IRI,0.0773767859984615,EPCI
200041887,CC du Val Marnaysien,GLOBAL,IRI,0.0964514458102876,EPCI
200041960,CC Pévèle-Carembault,GLOBAL,IRI,0.0712839202711267,EPCI
200041994,CC Haut Val de Sèvre,GLOBAL,IRI,0.114577649724107,EPCI
200042000,CC Bruyères-Vallons des Vosges,GLOBAL,IRI,0.0254201127794661,EPCI
200042174,CA Lorient Agglomération,GLOBAL,IRI,0.0916353882815972,EPCI
200042182,CC du Mont des Avaloirs,GLOBAL,IRI,0.0881645659675413,EPCI
200042190,CA de la Porte du Hainaut,GLOBAL,IRI,0.0693282257956784,EPCI
200042372,CC des Coteaux Arrats Gimone,GLOBAL,IRI,0.0534966354167342,EPCI
200042414,CC Bresse Revermont 71,GLOBAL,IRI,0.0898859387239467,EPCI
200042463,CC de la Montagne Noire,GLOBAL,IRI,0.0479358421102916,EPCI
200042497,CC Dombes Saône Vallée,GLOBAL,IRI,0.0606092020610852,EPCI
200042604,"CC de Granville, Terre et Mer",GLOBAL,IRI,0.057326633623889,EPCI
200042620,CC de la Région de Suippes,GLOBAL,IRI,0.0831170283344499,EPCI
200042646,CC Grand Orb CC en Languedoc,GLOBAL,IRI,0.0450511132116914,EPCI
200042653,CC Sud-Hérault,GLOBAL,IRI,0.0378155117247232,EPCI
200042703,CC de l'Argonne Champenoise,GLOBAL,IRI,0.113892712929342,EPCI
200042729,CC de la Baie du Cotentin,GLOBAL,IRI,0.0506303384595096,EPCI
200042901,CC Drôme Sud Provence,GLOBAL,IRI,0.0538472907144888,EPCI
200042935,CA Haut - Bugey Agglomération,GLOBAL,IRI,0.10771609561343,EPCI
200042943,CC du Cap Corse,GLOBAL,IRI,0.0454015140578031,EPCI
200042992,CC Perthois-Bocage et Der,GLOBAL,IRI,0.175244139243642,EPCI
200043016,CC Val de Charente,GLOBAL,IRI,0.0735184255294372,EPCI
200043065,CC du Val d'Amboise,GLOBAL,IRI,0.0409514026630357,EPCI
200043081,"CC Chinon, Vienne et Loire",GLOBAL,IRI,0.0825723160564186,EPCI
200043123,CC Auray Quiberon Terre Atlantique,GLOBAL,IRI,0.0471112105721621,EPCI
200043156,CC du Pays Rethélois,GLOBAL,IRI,0.101556818997174,EPCI
200043172,CA du Bassin de Brive,GLOBAL,IRI,0.114781753903326,EPCI
200043263,CC Coeur de l'Avesnois,GLOBAL,IRI,0.0503325226085649,EPCI
200043321,CC du Pays de Mormal,GLOBAL,IRI,0.0502386144779658,EPCI
200043354,CC de Villedieu Intercom,GLOBAL,IRI,0.138672383580368,EPCI
200043396,CA Maubeuge Val de Sambre,GLOBAL,IRI,0.0480270025405523,EPCI
200043404,CC du Sud Avesnois,GLOBAL,IRI,0.0520971222359059,EPCI
200043438,CC de la Moivre à la Coole,GLOBAL,IRI,0.0755193522518031,EPCI
200043495,CA du Pays de Laon,GLOBAL,IRI,0.0676219640075302,EPCI
200043602,"CC des Albères, de la Côte Vermeille et de l'Illibéris",GLOBAL,IRI,0.0526612786680853,EPCI
200043628,CC des Vallées du Clain,GLOBAL,IRI,0.0770035538625678,EPCI
200043693,CC Terre Lorraine du Longuyonnais,GLOBAL,IRI,0.0674190278045814,EPCI
200043776,CC Pyrénées Audoises,GLOBAL,IRI,0.0294036751403351,EPCI
200043974,CC du Sud Gironde,GLOBAL,IRI,0.069249524200195,EPCI
200043982,CC du Bazadais,GLOBAL,IRI,0.0581884514828797,EPCI
200043990,CC Vallons de Haute-Bretagne Communauté,GLOBAL,IRI,0.0699746546943843,EPCI
200044014,CC Creuse Grand Sud,GLOBAL,IRI,0.0858017979810422,EPCI
200044030,CC des Sept Vallées,GLOBAL,IRI,0.0369291832527233,EPCI
200044048,CC Osartis Marquion,GLOBAL,IRI,0.0860870995892705,EPCI
200044253,CC du Bassin de Joinville en Champagne,GLOBAL,IRI,0.0474652493875575,EPCI
200044394,CC du Réolais en Sud Gironde,GLOBAL,IRI,0.0632919979449361,EPCI
200044469,CC du Pays de Mirepoix,GLOBAL,IRI,0.0983484552406894,EPCI
200044618,CA du Douaisis (C.A.D.),GLOBAL,IRI,0.0678047477958309,EPCI
200044691,CA du Nord Grande Terre,GLOBAL,IRI,0.0262264872022616,EPCI
200046977,Métropole de LYON,GLOBAL,IRI,0.114709555965054,EPCI
200048551,CC du Pays de Craon,GLOBAL,IRI,0.0909673650070842,EPCI
200049187,CA du Grand Verdun,GLOBAL,IRI,0.103026935685596,EPCI
200049211,CC Conflent-Canigó,GLOBAL,IRI,0.0364469611774636,EPCI
200049484,CC Berry Grand Sud,GLOBAL,IRI,0.0608170947532493,EPCI
200054781,Métropole du Grand Paris,GLOBAL,IRI,0.143566295545466,EPCI
200054807,Métropole d'Aix-Marseille-Provence,GLOBAL,IRI,0.0769732565190838,EPCI
200055481,CC Beauce Val de Loire,GLOBAL,IRI,0.0969897860471555,EPCI
200055655,CA Roissy Pays de France,GLOBAL,IRI,0.0475167293882877,EPCI
200055887,CC Mayenne Communauté,GLOBAL,IRI,0.0902578021700576,EPCI
200056232,CA Communauté Paris-Saclay,GLOBAL,IRI,0.0984503880240712,EPCI
200056380,CA Plaine Vallée,GLOBAL,IRI,0.0578291189755389,EPCI
200057859,CA Coeur d'Essonne Agglomération,GLOBAL,IRI,0.0611001652047544,EPCI
200057958,CA Paris - Vallée de la Marne,GLOBAL,IRI,0.0668758541259188,EPCI
200058360,CC Entre Beauce et Perche,GLOBAL,IRI,0.0549587582608904,EPCI
200058477,CA Val d'Yerres Val de Seine,GLOBAL,IRI,0.0612956656681673,EPCI
200058485,CA Val Parisis,GLOBAL,IRI,0.0591968562859864,EPCI
200058519,CA Saint-Germain Boucles de Seine,GLOBAL,IRI,0.0790234875476183,EPCI
200058782,CA de Saint-Quentin-en-Yvelines,GLOBAL,IRI,0.0641949843895128,EPCI
200059228,CA Grand Paris Sud Seine Essonne Sénart,GLOBAL,IRI,0.0592476779509824,EPCI
200059392,CC Bièvre Isère,GLOBAL,IRI,0.0619217646622106,EPCI
200059400,CC Porte Océane du Limousin,GLOBAL,IRI,0.0625221416526085,EPCI
200059889,CU Grand Paris Seine et Oise,GLOBAL,IRI,0.0625441003676584,EPCI
200060010,CA Mauges Communauté,GLOBAL,IRI,0.0711614606942494,EPCI
200065563,CC Normandie-Cabourg-Pays d'Auge,GLOBAL,IRI,0.0349869874222715,EPCI
200065589,CC Val Ès Dunes,GLOBAL,IRI,0.088200589812113,EPCI
200065597,CU Caen la Mer,GLOBAL,IRI,0.0818450529239225,EPCI
200065647,CA Pays de Montbéliard Agglomération,GLOBAL,IRI,0.0934943497722669,EPCI
200065787,CC de Pont-Audemer / Val de Risle,GLOBAL,IRI,0.0849329234982519,EPCI
200065886,CA Loire Forez Agglomération Lfa,GLOBAL,IRI,0.0665277285022318,EPCI
200065894,CC de Forez-Est,GLOBAL,IRI,0.0612021588612507,EPCI
200065928,CA Lannion-Trégor Communauté,GLOBAL,IRI,0.0651167842306259,EPCI
200066009,CA Mulhouse Alsace Agglomération,GLOBAL,IRI,0.0882301622654112,EPCI
200066017,CC Lieuvin Pays d'Auge,GLOBAL,IRI,0.0694607234747538,EPCI
200066025,CC Pays Rhin - Brisach,GLOBAL,IRI,0.0797955423899452,EPCI
200066033,CC Sud Alsace Largue,GLOBAL,IRI,0.0821242542925521,EPCI
200066041,CC Sundgau,GLOBAL,IRI,0.0642132036375658,EPCI
